NumberOfSpecs,6,1024,1024
Spec,0,Tahoma,78,64,190,46
80,ABC,1,11,0,83,939
81,ABC,0,15,0,95,939
82,ABC,1,13,-1,111,939
83,ABC,0,12,0,125,939
84,ABC,-1,14,-1,138,939
85,ABC,1,12,1,153,939
86,ABC,0,14,-1,166,939
87,ABC,0,19,0,181,939
88,ABC,0,12,0,201,939
89,ABC,-1,14,-1,214,939
90,ABC,0,12,0,229,939
91,ABC,1,6,1,242,939
92,ABC,0,9,-1,249,939
93,ABC,1,6,1,259,939
94,ABC,1,13,1,266,939
95,ABC,-1,13,-1,280,939
96,ABC,2,5,4,294,939
97,ABC,0,10,1,300,939
98,ABC,1,11,0,311,939
99,ABC,0,10,0,323,939
100,ABC,0,11,1,334,939
101,ABC,0,11,0,346,939
102,ABC,0,8,-1,358,939
103,ABC,0,11,1,367,939
104,ABC,1,10,1,379,939
105,ABC,1,3,1,390,939
106,ABC,-1,6,1,394,939
107,ABC,1,10,-1,401,939
108,ABC,1,3,1,412,939
109,ABC,1,16,1,416,939
110,ABC,1,10,1,433,939
111,ABC,0,11,0,444,939
112,ABC,1,11,0,456,939
113,ABC,0,11,1,468,939
114,ABC,1,7,0,480,939
115,ABC,0,9,0,488,939
